ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,73.54,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
10,Atuona,PF,77.74,light rain,-9.8,-139.0333,Pearl Resort
16,Rikitea,PF,78.26,few clouds,-23.1203,-134.9692,Chez Bianca & Benoit
22,Mar Del Plata,AR,70.09,light rain,-38.0023,-57.5575,Nuevo Ostende
24,Nabire,ID,76.39,overcast clouds,-3.3667,135.4833,Hotel Anggrek
30,Hobart,AU,76.86,broken clouds,-42.8794,147.3294,The Old Woolstore Apartment Motel
31,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,The Abidah By Accra
32,Byron Bay,AU,71.94,broken clouds,-28.65,153.6167,Lord Byron Resort
35,Sambava,MG,73.99,few clouds,-14.2667,50.1667,Royal Sava Hôtel
40,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Grand Bel Air
43,San Ignacio,BZ,73.54,clear sky,17.1561,-89.0714,Rainforest Haven Inn
45,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,Le Baril
51,Namibe,AO,70.63,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
52,Ahipara,NZ,72.14,clear sky,-35.1667,173.1667,YHA Ahipara
55,Mount Isa,AU,78.57,overcast clouds,-20.7333,139.5,Ibis Styles
57,Jacareacanga,BR,71.67,overcast clouds,-6.2222,-57.7528,Hotel São Cristovão
63,Antalaha,MG,70.63,few clouds,-14.9003,50.2788,Hôtel Florida
78,Quelimane,MZ,78.75,scattered clouds,-17.8786,36.8883,Mabassa
79,Villa Carlos Paz,AR,76.39,scattered clouds,-31.4241,-64.4978,Hoterl Victor
97,Caravelas,BR,73.67,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
100,Planadas,CO,73.83,scattered clouds,3.197,-75.6451,Coffee Hotel
107,Isangel,VU,78.91,overcast clouds,-19.55,169.2667,Tanna Lodge
109,The Valley,AI,77.14,few clouds,18.217,-63.0578,CeBlue
112,Muisne,EC,75.76,scattered clouds,0.6,-80.0333,Hostal Té de Menta
114,Salinopolis,BR,78.78,broken clouds,-0.6136,-47.3561,Hotel Salinópolis
133,New Norfolk,AU,76.5,overcast clouds,-42.7826,147.0587,Woodbridge on the Derwent
144,Te Anau,NZ,79.39,clear sky,-45.4167,167.7167,Lakeside Motels & Apartments
146,Geraldton,AU,77.41,clear sky,-28.7667,114.6,Ocean Centre Hotel
153,Cabanas,CU,70.68,overcast clouds,22.9758,-82.9219,Vista Hermosa
158,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
172,Lhokseumawe,ID,76.64,overcast clouds,5.1801,97.1507,Vina Vira Hotel
183,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Page 63 hostel
205,Atambua,ID,78.24,overcast clouds,-9.1061,124.8925,Hotel Matahari
220,Upata,VE,74.19,scattered clouds,8.0086,-62.3989,Hotel Garibardi
228,Christchurch,NZ,73.42,few clouds,-43.5333,172.6333,Ibis Hotel Christchurch
230,El Retorno,CO,77.41,broken clouds,2.3302,-72.6276,Hotel Casero
240,Padang,ID,73.45,light rain,-0.9492,100.3543,losmen Surya
244,Cabo San Lucas,MX,76.3,clear sky,22.8909,-109.9124,Comfort Rooms
254,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
276,Matara,LK,73.71,scattered clouds,5.9485,80.5353,Villa Palm Breeze
286,Ambovombe,MG,74.82,scattered clouds,-25.1667,46.0833,La source
297,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
306,Inhambane,MZ,76.73,overcast clouds,-23.865,35.3833,Hotel de Inhambane
309,Axim,GH,77.61,scattered clouds,4.8699,-2.2405,Axim Beach Hotel
311,Port Blair,IN,73.44,mist,11.6667,92.75,Andaman Ocean Breeze
313,Dwarka,IN,70.03,clear sky,22.2394,68.9678,The Dwarika Hotel
316,Pisco,PE,71.65,clear sky,-13.7,-76.2167,La Portada
326,Touros,BR,78.98,clear sky,-5.1989,-35.4608,Pousada Atlântico
329,San-Pedro,CI,77.92,few clouds,4.7485,-6.6363,Hôtel La Cité De San Pédro
335,Mana,GF,76.15,scattered clouds,5.6592,-53.7767,Le Samana
345,Mangochi,MW,70.65,overcast clouds,-14.4782,35.2645,Fort Johnson Lodge
347,Bubaque,GW,77.5,light rain,11.2833,-15.8333,Chez Julio
351,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Pousada Brisa Mar
355,Ambulu,ID,79.38,overcast clouds,-8.345,113.6058,Hotel Ambulu
362,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Central Hôtel
369,Bengkulu,ID,77.13,moderate rain,-3.8004,102.2655,Dena Hotel
373,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Hotel Prainha
376,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
400,Paranaiba,BR,72.79,clear sky,-19.6772,-51.1908,Hotel Sul
401,Freetown,SL,78.28,broken clouds,8.484,-13.2299,Formal Leona hotel
414,Itaituba,BR,71.87,light rain,-4.2761,-55.9836,TG Hotel
417,Meulaboh,ID,76.21,overcast clouds,4.1363,96.1285,Hotel Meuligou
427,Miandrivazo,MG,75.85,overcast clouds,-19.5167,45.4667,Baobab
432,Ciudad Bolivar,VE,78.12,broken clouds,8.1222,-63.5497,Paoca
457,Marawi,PH,71.11,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
476,Bassar,TG,71.62,clear sky,9.25,0.7833,Hôtel Bassar
484,Mindelo,CV,71.15,clear sky,16.8901,-24.9804,Solar Windelo
487,Mahanoro,MG,73.62,light rain,-19.9,48.8,Vanilla Bungalow
494,Natal,BR,79.45,few clouds,-5.795,-35.2094,Natal Palace Hotel
497,Kismayo,SO,76.89,scattered clouds,-0.3582,42.5454,Kismayo Hotel
500,Sinjai,ID,77.7,overcast clouds,-5.1241,120.253,Hotel Sinjai
506,Hambantota,LK,71.94,few clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
508,Saint-Leu,RE,76.03,clear sky,-21.15,55.2833,Iloha Seaview Hôtel
511,Maroantsetra,MG,70.86,broken clouds,-15.4333,49.7333,Coco Beach
518,Tabou,CI,79.18,clear sky,4.423,-7.3528,hôtel le rochet
519,Takoradi,GH,78.64,scattered clouds,4.8845,-1.7554,Hillcrest
