City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Urumqi,CN,43.801,87.6005,-6.65,84,39,2.24,mist
1,Puerto Ayora,EC,-0.7393,-90.3518,73.54,94,65,5.01,broken clouds
2,Hermanus,ZA,-34.4187,19.2345,66.27,84,94,4.32,overcast clouds
3,Jiangyou,CN,31.7667,104.7167,38.12,70,92,0.72,overcast clouds
4,Shellbrook,CA,53.2168,-106.4011,4.23,93,100,13.78,overcast clouds
5,Olafsvik,IS,64.8945,-23.7142,25.34,70,68,18.99,broken clouds
6,Ushuaia,AR,-54.8,-68.3,40.66,81,75,27.63,light rain
7,Tucurui,BR,-3.7661,-49.6725,73.17,90,94,1.52,overcast clouds
8,Corpus Christi,US,27.8006,-97.3964,55.63,63,20,9.22,few clouds
9,Mataura,NZ,-46.1927,168.8643,80.4,42,18,1.52,few clouds
10,Atuona,PF,-9.8,-139.0333,77.74,75,82,10.02,light rain
11,Vardo,NO,70.3705,31.1107,17.58,86,100,16.11,overcast clouds
12,Hilo,US,19.7297,-155.09,80.33,71,0,9.22,clear sky
13,Taltal,CL,-25.4,-70.4833,68.65,73,13,4.25,few clouds
14,San Patricio,US,28.017,-97.5169,55.49,55,0,8.57,clear sky
15,Vaini,TO,-21.2,-175.2,82.56,78,75,3.44,light rain
16,Rikitea,PF,-23.1203,-134.9692,78.26,73,16,11.36,few clouds
17,Sunrise Manor,US,36.2111,-115.0731,68.09,31,20,24.16,few clouds
18,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,20,6.91,few clouds
19,Mon,IN,26.75,95.1,49.39,97,84,3.02,broken clouds
20,Karratha,AU,-20.7377,116.8463,82.89,68,46,6.42,scattered clouds
21,Nome,US,64.5011,-165.4064,8.67,72,100,9.22,overcast clouds
22,Mar Del Plata,AR,-38.0023,-57.5575,70.09,86,0,13.0,light rain
23,Qaanaaq,GL,77.484,-69.3632,-10.73,98,100,2.15,overcast clouds
24,Nabire,ID,-3.3667,135.4833,76.39,87,100,3.06,overcast clouds
25,Punta Arenas,CL,-53.15,-70.9167,46.51,66,40,28.77,scattered clouds
26,Tasiilaq,GL,65.6145,-37.6368,1.56,48,2,4.05,clear sky
27,Port Hawkesbury,CA,45.6169,-61.3485,30.9,84,100,15.99,overcast clouds
28,Ocampo,MX,21.65,-101.5,55.38,32,0,1.39,clear sky
29,Ola,RU,59.5833,151.2833,-6.86,83,3,11.74,clear sky
30,Hobart,AU,-42.8794,147.3294,76.86,54,75,29.93,broken clouds
31,Oistins,BB,13.0667,-59.5333,78.89,73,40,20.71,scattered clouds
32,Byron Bay,AU,-28.65,153.6167,71.94,71,53,9.75,broken clouds
33,Butaritari,KI,3.0707,172.7902,80.69,80,71,16.55,light rain
34,Cape Town,ZA,-33.9258,18.4232,66.9,78,0,4.61,clear sky
35,Sambava,MG,-14.2667,50.1667,73.99,87,18,9.37,few clouds
36,Suntar,RU,62.1444,117.6319,5.13,95,85,9.17,light snow
37,Upernavik,GL,72.7868,-56.1549,1.92,70,100,5.57,overcast clouds
38,Chokurdakh,RU,70.6333,147.9167,-23.3,100,97,5.44,overcast clouds
39,Nikolskoye,RU,59.7035,30.7861,28.8,94,100,7.9,overcast clouds
40,Mahebourg,MU,-20.4081,57.7,77.29,73,40,10.36,scattered clouds
41,Salym,RU,60.0625,71.4789,-8.63,100,88,3.6,overcast clouds
42,Kargasok,RU,59.0556,80.8572,14.43,97,100,3.27,light snow
43,San Ignacio,BZ,17.1561,-89.0714,73.54,73,0,6.91,clear sky
44,Ulladulla,AU,-35.35,150.4667,81.81,42,0,12.64,clear sky
45,Saint-Philippe,RE,-21.3585,55.7679,72.99,81,40,11.07,light rain
46,Kaitangata,NZ,-46.2817,169.8464,71.17,58,12,5.41,few clouds
47,Tiarei,PF,-17.5333,-149.3333,80.62,70,29,12.1,scattered clouds
48,Wittlich,DE,49.9833,6.8833,43.38,81,100,13.8,overcast clouds
49,Jamestown,US,42.097,-79.2353,25.02,92,100,11.5,overcast clouds
50,Troitskoye,RU,52.9821,84.6757,1.67,98,93,4.85,overcast clouds
51,Namibe,AO,-15.1961,12.1522,70.63,74,24,6.22,few clouds
52,Ahipara,NZ,-35.1667,173.1667,72.14,64,6,3.76,clear sky
53,Bethel,US,41.3712,-73.414,32.94,61,100,3.44,overcast clouds
54,Zwedru,LR,6.0667,-8.1281,72.79,79,7,0.89,clear sky
